country,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.1,,,80.3,,,73.2,27,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7,,34.8,27.4,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2,,,,,26.5,34.4,32,34.1,57.4,36.5,31.9,39.5,37,30.5,29.2,26.6,24.9,30.2,26.9,23.8,21.9
UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,3.89,3.78,,,5.91,5.57
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.9,54.8,54.4,,51.5,52.5,52.1,50.9,52.6,52.4,53.7,,,54.9,55.8,57,63.5,57.5,55.7,55.3
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1,35,50.9,53.2,49.7,43.9,44.1,41.7,48.3,47.3,43.5,42,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.69,,,,,
Australia,,,,,,,,,,,,,,,,54.3,53.5,55.5,54.7,55.1,56.9,55.5,55.4,55.4,54.9,57.8,57.7,56.9,57.7,56.5,57.7,59.4,56.3,57.8,57.9,57.1,60.4,59.5,57.8,59.1,57.2,59.2,59.3,57,58.6,,,
Austria,,,,,,,,,,,,,,,,,,,,31.1,30.7,29.2,39.9,40.3,41.3,41,42.4,42,50.7,52.6,53.1,53.8,53.4,56.9,57.2,57,58.5,58.7,59.6,60.8,60.8,61.4,60.9,60.6,63.3,65,64.5,64.5
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,29.9,30.8,29.9,28.6,28.6,28.8,28.6,28.8,28.9,27.8,28.5,20.7,22.4,22.9,,23.3,23.5,23.7,23.9,24.3,24.6,24.3,24.1,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9,,,,,,,,,
Belgium,,,,,,,,33.1,33.4,33.4,34,34.9,34.8,35.7,36.2,38,38.7,40.6,44.9,42.4,41.9,41.5,43.4,54.5,56.3,55.4,54.4,55.1,56.8,55.4,55.5,54.7,54.7,54.6,55.8,56.1,56.5,57,55.9,56.1,55.3,54.7,53.2,56.6,59.3,56.2,55.4,56.1
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9,33.2,,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.2,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.3,,,,,,,29.6,,,39.5,41.3,,,,,25.4,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,8.57,8.68,7.59,14.3,16.6,11.6,12.1,11.2,11.4,14.2,13.1,13.1,12.4,12.2,13,12.9,11.8,12.8,14,13.5,16,13.7,14.1,15.8
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,26.7,,,,,18.1,16.2,17.9,18,18,17.1,16.9,14.5,14.5,18.4,13.6,15.6,15.1,14.3,15.3,6.62,6.3,6.68
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4,25.1,23.8,23.8,24.3,22.2,22,20.6
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4,33.8,46.8,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,15.5,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,36.5,34,46.6,40.9,,40.9,,,,,40.6,,,,,,,,,,,,47.4,48.6,49.1
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.6,35.3,34.6,35.1,33.5,35.7,37.1,36.9,43.4,35.5,33.7,33.3
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,,,11,14.7,14.1,19,15.6,9.96,11
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,,,12.7,12.1,15,10.3,8.02,
Botswana,,,,,,,,,,,,,,,,,,,,,14.7,,,,,,,,,,18.2,,,,19.1,,,,,,,,,28.9,27.9,24,28.6,27.8
Canada,47.5,47.1,43.5,43,46.3,50.2,49.2,48.3,47.7,48.3,47.7,50.5,47.4,43.5,45,48.5,52,50.8,49.1,50.2,49.1,49.1,50.1,48.6,46.5,49.5,50.6,53.6,52.2,50.5,51.8,50.3,51.2,54,52.9,51.7,50.4,51.4,54,51.8,51.6,52.4,50.1,52.6,51.8,49.2,50.5,48.8
Switzerland,,,,,,,,,,,,,,,,48.4,52.7,54,54.7,53.6,53.5,54.6,54.2,53.4,52.5,51.1,52,52.2,52.3,52.7,52.3,54.2,51.8,52.7,51.3,51,51.6,51.8,51.4,51.1,50.9,50.9,50.8,51.4,51.5,50.6,49.2,49.7
Chile,,,,,,,,,,,,,,,18.3,,16.1,,16.5,,19.2,,22,,20.9,,,,,,25.4,,,28.8,36.8,37.5,37.9,37.4,38.3,37.6,38.5,38.1,38,38.8,43.8,38.2,35.5,35.8
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7,40.3,,,47.2,32.7,,38.4,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.2,,,,,,,48.2,,,,,,,,46.7,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4,39.7,40,37.5,,32.4,32.3,35.2,36.3,37.5,39.5,39.4,38.2,38.5,37.6,38,37.1,38,43.3,36.1,28.7,30.1
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8,,,,,,,22.1,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.3,,,,,,,,24.6,28.2,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,28.1,32.9,38.7,38.7,37.6,33.8,35.4,38.4,39.5,42.1,36.9,33.6,30.4
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.57,3.2,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.01,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,34.7,32.1,33.2,35.1,38.3,34,34.4,31.2,31.6,32,36.1,32.2,31.4,29.6,34.4,37.7,36.8,33.9,34,33.2,35.7,40,38,37.5,32.8
Czech Republic,,,,,,,,,,,,,,,,,,22.7,22.3,22.2,22,23.1,23,21.7,22.1,22.4,24.9,26.9,25.5,24.5,24.8,25.3,25.3,28.6,27.8,30.1,30.6,33.3,32.5,34.9,32,35.5,34.9,34.9,40.5,35.1,37.7,37.7
Germany,,,,,,,,37.5,34.4,34.4,33.3,34.2,35,36.1,39,37.4,36.7,37.5,38.9,40.5,41,42.9,44,44.8,45.9,46.6,46.5,48.4,49.1,52.8,54.1,54,54.3,56.1,56.4,56.5,57.1,57.6,57.2,57.4,56.8,57.5,57.5,57.8,59.3,59,59.2,59.9
Denmark,,,,,,,,47.7,62.8,57.3,60.7,56,58.4,58.6,53.5,57.9,56.2,55.5,53.6,60.4,59.8,55.6,59.2,53,61.8,57.4,54.1,57.6,60.7,55.4,56.7,55.6,55.1,55.7,55.7,54.9,54.1,54.6,53.9,53.5,55.3,54.5,53.7,55,54,53.2,53.9,53.9
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.4,30.7,29.8,30.1,30,29.3,29.1,26.3,37.3,35.2,36.2,36.9,37.8,49,39.1,34.8,36.5
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8,,,36.2,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.2,,,,,,,,,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.2,30.9,28.7,28.7,24.3,21.6,,9.92,21.8,21.3,10.5,12.6,29.8,30.4,19.4,18.1
Spain,,,,,,,,,,,29.2,31.9,34.8,35.4,35.4,37.3,37,33,34.7,38.6,40.3,38.7,38.2,31.3,36.7,38,35.7,39,36.7,40.8,39.5,40.9,40.6,42.4,41.4,41.2,41.3,42.2,41.2,40.8,39.8,41,39.8,41.1,46.1,46.3,45.2,43.9
Estonia,,,,,,,,,,,,,,,,,,,,,,22.3,25.8,23.8,30.1,26.1,21.2,25.1,19.7,18.5,18.6,19.1,18.9,31.4,29.5,27.6,29.8,31.3,30.9,33.1,30.8,31.1,35.2,34.7,37.6,38.6,40,38.9
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,,,,,,,,73.6,,,,,,,,68.6,,
Finland,,,,,,,,,,,,,,,,,,,,47.1,47.3,33.5,48.1,49.7,53.4,54.5,51.4,55.7,52,47.2,56,49.4,46.9,49.8,48.9,47.8,50.4,49.9,50.3,49.4,48.5,50,50.7,50.6,50.8,52.1,52.5,52.3
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.5,,,,,,60.6,,,,,60.9,,,,,,,
France,,,,,,,,32.9,33.8,34.2,35.6,36.5,36,35.5,35.6,37.7,38.8,41,41.8,42.9,43.8,42.3,42.8,41.4,43.2,41.7,41.4,48.3,49.4,35.6,36,35.8,35.3,35.9,34.5,34,34.5,35.9,35.7,35.1,49.3,49.2,48.4,48.6,51.9,49.1,47.2,47.3
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.3,,,,,,,,,
UK,,,,,,,,57.8,61.4,59.3,60.1,61.5,58.7,59.9,60.4,58.9,60.4,59.6,59.8,59.7,59.9,60.7,60.8,59.2,60.5,59,58.9,59.5,59.6,58.2,58.1,58.1,58.6,58.9,59.7,59.6,58.7,57.5,57.5,58.1,56.7,57.1,57,54.5,59.6,55.8,53.4,53.3
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9,45.2,44.6,18.6,,,
Ghana,,,,,,,,,,,,,,,,51.8,,,,,,,,,,,,,,,46.6,,,,,,,38,,59,,36.9,,,,,53.9,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.9,,,,,,13.2,,,,,47.1
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,,,,,
Greece,,,,,,,,28.8,31.5,32.3,29.2,33.3,32.2,27.7,29.5,24.9,23.9,22.7,26.6,27.3,31.1,29.4,32,27.9,26.5,26.2,28.7,28.1,28.3,28.7,29.5,31.3,31.1,33.7,31.4,29.5,30.3,31.2,32.7,33.3,33.1,33.1,33.1,32.8,40,34.8,34.3,30.2
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,12.7,16.7,12,,11.4
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4,46.9,50.2,44.9,38.7,42.6,,,,,,,,44.7
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.2,28.7,,,,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,13.2,16.1,17,17.5,19.3,18.5,18.9,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2,41.6,38.1,42,48.1,48.9,43.3,45.9,45.1,43.6,45.2,43.9,46.8,47.3,44,48.7,46.2,42.5,36.5
