country,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,,,32.5,,,28.3,23.1,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.6,,29.7,25.1,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,,,,,14.9,15.4,14.7,16.9,44.3,23.6,21.3,26.5,26.2,23.4,21.1,18.1,16.3,21.9,15.9,14.2,13.6
UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,1.81,2.19,,,3.31,2.54
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.8,25.7,24.6,,22.9,24,23.3,23.3,23.8,23.8,24.2,,,28.7,28.7,30.9,40.7,32.1,29.8,28.9
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.8,20.1,29.1,27.7,27.9,26.9,23.4,24.7,27.6,26.7,24.7,22,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.58,,,,,
Australia,,,,,,,,,,,,,,,,27.3,25.9,28.3,26.8,27.2,29.5,27.2,27.1,27,27.4,30.8,29.8,28.9,30.8,29.1,31.5,33.9,29.7,32.3,31.9,30.9,34.7,34.4,31.3,33.7,32,34.1,35.2,32.6,35.8,,,
Austria,,,,,,,,,,,,,,,,,,,,12.4,12,9.79,11.3,10.9,10.5,10.1,10.9,10.3,20.4,22.9,22.7,23.2,22.7,28,27.5,26.6,27.5,28.4,28.9,30.3,30.1,31.1,30.6,29.1,34.1,35.4,35.8,36.9
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,21.7,21.7,21.4,21.6,22,22.2,22,22.3,22.7,18.6,19.2,13.8,15,14.3,,14.2,14.3,14.4,14.7,15,15.1,15,14.9,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.7,,,,,,,,,
