country,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.1,,,42.8,,,36.8,24,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.7,,32.3,26.3,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,37.6,,,,,19.3,23.8,22.1,24.2,50.1,29.3,26.1,32.1,30.9,26.5,24.6,21.8,20.1,25.6,20.8,18.6,17.5
UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,2.2,2.57,,,3.94,3.24
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,37.9,37.1,,34.8,36.1,35.3,34.7,35.8,35.6,36.5,,,39.9,40.5,42.3,50.7,43,41.1,40.6
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,26.8,39.3,39.4,38.3,35,33.1,32.9,37.4,36.5,33.6,31.6,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,
Australia,,,,,,,,,,,,,,,,38.6,37.6,39.8,38.7,39.2,41.3,39.5,39.4,39.4,39.5,42.8,42.2,41.4,42.8,41.4,43.4,45.4,41.7,43.9,43.7,42.9,46.5,45.9,43.5,45.5,43.7,45.9,46.5,44.1,46.6,,,
Austria,,,,,,,,,,,,,,,,,,,,20.5,20.1,18.3,23.8,23.8,24.1,23.8,25.1,24.5,34,36.4,36.5,37.1,36.8,41.4,41.4,40.8,42.1,42.6,43.4,44.7,44.5,45.4,44.8,43.9,47.9,49.3,49.3,49.9
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,25.6,26.1,25.5,25,25.2,25.4,25.2,25.4,25.7,23.1,23.8,17.1,18.6,18.4,,18.6,18.7,18.9,19.1,19.4,19.6,19.4,19.3,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8,,,,,,,,,
Belgium,,,,,,,,18.6,17.4,17.1,17.6,17.5,17.5,17.6,18.2,19.6,20.5,22.6,28.6,24.7,23.4,22.9,25.1,38,39.6,40.2,39.1,39.2,39.7,39.4,38.9,38.5,38.1,39.2,39.1,39.5,39.9,40.7,40,40.3,39.1,39.1,38.4,40.6,45.7,41.7,41.6,43.3
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3,27.4,,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,,,,,,,18.4,,,18.7,20.4,,,,,17.5,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,6.65,6.56,5.9,12,14.1,9.42,9.73,8.95,9.07,12,11.6,11,10,10.2,10.6,10.5,9.6,11,11.6,11.3,13.5,11.3,11.9,13.4
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,22.1,,,,,16.6,14.8,14.2,14.6,14.1,13.8,14.1,12.6,12.2,14.8,10.3,13.2,12.6,11.8,11.6,5.37,5.55,5.94
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,16.9,15.8,15.6,16.9,15.6,15.2,14.1
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8,27.1,42.1,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,12.3,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,30.6,26.7,37.4,32.7,,33.1,,,,,31.5,,,,,,,,,,,,36.7,37.8,38.5
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,25.8,25.4,25.9,24.9,27.1,28.5,28.3,34,26.6,25.8,25.6
